product_id,observations,promotion_rate,average_quantity,average_predicted_uplift,adjusted_uplift,positive_uplift_share,control_quantity_mean,promotion_quantity_mean,raw_quantity_difference
P004,370,0.16756756756756758,57.13243243243243,36.541217064027,41.559754192242835,1.0,50.353896103896105,90.80645161290323,40.45255550900713
P001,370,0.20270270270270271,50.84324324324324,34.54928505187755,37.275235647024395,1.0,42.78983050847457,82.52,39.73016949152542
P005,370,0.15945945945945947,47.22432432432432,33.856341476910075,38.722531892151814,1.0,40.71704180064309,81.52542372881356,40.808381928170476
P002,370,0.14864864864864866,38.605405405405406,29.833717518684196,31.48853969814093,1.0,33.83174603174603,65.94545454545455,32.113708513708524
P006,370,0.1837837837837838,34.067567567567565,26.637075606309416,30.53571717939153,1.0,28.64569536423841,58.14705882352941,29.501363459291003
P003,370,0.13783783783783785,29.14864864864865,26.30856268204287,27.216201052216043,1.0,25.344827586206897,52.94117647058823,27.596348884381335
P009,370,0.17297297297297298,30.491891891891893,20.053229433843004,20.43716583672669,1.0,26.852941176470587,47.890625,21.037683823529413
P010,370,0.11891891891891893,20.835135135135136,16.10267218499313,16.533216521176715,1.0,18.858895705521473,35.47727272727273,16.618377021751254
P007,370,0.17567567567567569,24.708108108108107,15.95589182511359,16.981006191020107,1.0,21.872131147540983,38.01538461538462,16.143253467843635
P008,370,0.15945945945945947,18.705405405405404,13.603576673764378,14.950214489652039,1.0,16.29581993569132,31.406779661016948,15.110959725325628
