feature,importance
inventory,0.4194596
promotion,0.15023392
planned_unit_margin,0.052125216
rolling_quantity_mean_28,0.041237902
is_weekend,0.026067063
price_ratio_to_base,0.021998571
discount_depth,0.0160237
rolling_quantity_mean_14,0.011529317
holiday,0.0110479165
region_Central,0.008913863
product_id_P009,0.008579808
category_Beverages,0.008092617
day_of_week,0.0072052353
product_id_P007,0.0065251705
store_id_S003,0.0064588245
promotion_type_none,0.0064106686
unit_cost,0.006157
product_id_P010,0.00582862
category_Personal Care,0.005692879
promotion_type_bundle_offer,0.0056264955
category_Grocery,0.005535768
quantity_ewm_7,0.005219237
is_month_end,0.0051638153
lag_promotion_1,0.0048400084
competitor_price_gap_pct,0.0047942684
promotion_type_feature_display,0.0047936556
selling_price,0.0047912365
product_id_P004,0.0047326633
day_of_week_sin,0.0046668774
is_month_start,0.004631926
region_East,0.0046195304
promotion_rate_28,0.004541238
rolling_quantity_mean_7,0.0044806437
base_price,0.004352159
product_id_P005,0.0041872463
time_index,0.004172877
store_id_S002,0.004045785
category_Household,0.004007389
lag_selling_price_1,0.0040052435
store_id_S005,0.0038870063
lag_quantity_14,0.0038727494
history_length,0.0038662972
week_of_year,0.003858527
lag_quantity_7,0.0038462318
promotion_type_percentage_discount,0.0037276451
rolling_quantity_std_14,0.0036331473
day_of_month,0.0035888173
lag_quantity_28,0.0035657685
lag_quantity_1,0.003548089
weather_index,0.0035282644
competitor_price,0.0035183958
product_id_P006,0.0034717368
rolling_quantity_std_28,0.0034516952
rolling_quantity_std_7,0.0034259
product_id_P002,0.0033825159
day_of_week_cos,0.0033322
month_cos,0.0032370472
store_id_S004,0.0032356416
month_sin,0.0030831583
month,0.0029604011
store_id_S001,0.002941666
product_id_P001,0.0028574795
product_id_P003,0.0026174902
quarter,0.0024195807
region_West,0.0023465957
year,0.0
product_id_P008,0.0
