product_id,observations,actual_total,predicted_total,MAE,RMSE,R_squared,WAPE_pct,MAPE_pct,Bias_pct,Forecast_accuracy_pct
P004,275,16163,16078.67,6.594495239257813,8.850735434737818,0.8660406906538354,11.219985094325919,11.67698493074875,-0.5217431050778351,88.78001490567408
P001,275,14043,14121.204,6.735502097389915,8.720533163913856,0.8476351349588578,13.18993859419089,14.280524636982484,0.5568941884134889,86.81006140580911
P005,275,13128,12848.404,5.527342120083896,7.282230090602751,0.8834394495279254,11.57845127226593,12.213454142104199,-2.129768627871107,88.42154872773406
P002,275,10762,10636.892,5.054184799194336,6.285856130064011,0.8504446659352969,12.914893326318921,14.104938551757748,-1.1625034528646165,87.08510667368108
P006,275,9478,9387.391,4.584969850019975,5.884802782309992,0.8620510986733994,13.303088296639515,14.869047916310219,-0.9560026380929747,86.69691170336048
P009,275,8379,8425.8125,4.456297676780007,5.60524888517477,0.8105909801614037,14.625633859822198,16.623995188686035,0.5586807618833751,85.3743661401778
P003,275,8151,8104.2363,4.3172052244706585,5.419470270141639,0.8394674704201628,14.565469718187106,15.890426346209969,-0.5737139365231679,85.4345302818129
P007,275,6858,6784.3604,3.888038274591619,5.218197990467987,0.7330617812203699,15.590704658977767,17.763272377729837,-1.0737861061485559,84.40929534102223
P010,275,5882,5918.8457,3.234581236405806,4.180435445990679,0.7655351988120591,15.122574634675223,17.206026134109454,0.6264152838153444,84.87742536532478
P008,275,5194,5313.0645,3.0650956726074217,3.9250751783792848,0.7910841969309017,16.228365613535637,19.534592845206415,2.292345779236803,83.77163438646437
